order,section_id,section,capability_id,question_id,question_type,prompt
1,governance-risk,"Governance and Risk Management",business-service-criticality,business-critical-services,modular,"Can business leaders identify and rank the services that must continue during a major disruption?"
2,governance-risk,"Governance and Risk Management",business-service-criticality,business-service-dependencies,modular,"Are the key technology, vendor, people, and data dependencies of critical services documented?"
3,governance-risk,"Governance and Risk Management",business-service-criticality,business-recovery-priorities,modular,"Are the most critical business services assigned clear priority tiers based on business impact?"
4,business-continuity,"Business Continuity and Disaster Recovery",recovery-requirements,recovery-objectives-documented,modular,"Are recovery time and data-loss tolerances documented for the most critical business services?"
5,business-continuity,"Business Continuity and Disaster Recovery",recovery-requirements,recovery-objectives-validated,modular,"Have actual recovery capabilities been compared with the approved recovery objectives?"
6,technology-operations,"Technology Operations",technology-asset-inventory,technology-asset-coverage,modular,"Is there a current inventory of the technology the business depends on?"
7,technology-operations,"Technology Operations",technology-asset-inventory,technology-asset-ownership,modular,"Do important technology assets and services have accountable owners?"
8,technology-operations,"Technology Operations",technology-asset-inventory,technology-asset-review,modular,"Is the technology inventory reviewed for unsupported, duplicate, or unmanaged assets?"
9,identity-access,"Identity and Access Management",identity-inventory,identity-inventory-coverage,modular,"Is there a current inventory of the identities that can access important business systems?"
10,identity-access,"Identity and Access Management",identity-inventory,identity-inventory-ownership,modular,"Do important identities and identity systems have accountable owners?"
11,identity-access,"Identity and Access Management",identity-inventory,identity-inventory-review,modular,"Is the identity inventory reviewed for dormant, orphaned, duplicate, or unexpected identities?"
12,governance-risk,"Governance and Risk Management",critical-data-inventory,critical-data-coverage,modular,"Is there a current inventory of the data the business must protect or recover?"
13,governance-risk,"Governance and Risk Management",critical-data-inventory,critical-data-ownership,modular,"Do critical data sets have accountable business owners?"
14,governance-risk,"Governance and Risk Management",critical-data-inventory,critical-data-review,modular,"Is the critical-data inventory reviewed for new locations, duplicate copies, and changing business needs?"
15,business-continuity,"Business Continuity and Disaster Recovery",recovery-capability,bcdr-backup-test,modular,"When was the last successful test of restoring critical business data from backup?"
16,business-continuity,"Business Continuity and Disaster Recovery",recovery-capability,bcdr-recovery-owner,modular,"Is there a named owner and written recovery process for your most critical systems?"
17,identity-access,"Identity and Access Management",identity-lifecycle,iam-offboarding,modular,"How quickly are former employees and contractors removed from business systems?"
18,identity-access,"Identity and Access Management",privileged-access,cyber-admin-mfa,modular,"Are administrators required to use multi-factor authentication when accessing critical systems?"
19,identity-access,"Identity and Access Management",privileged-access,iam-shared-admin,modular,"Do people use shared administrator accounts for important systems?"
20,cybersecurity,"Cybersecurity",,cyber-device-patching,legacy,"How consistently are laptops, servers, and business devices patched?"
21,technology-operations,"Technology Operations",,ops-incident-review,legacy,"After meaningful outages or technology incidents, does the team review what happened and assign follow-up actions?"
22,productivity-collaboration,"Productivity and Collaboration",,prod-doc-control,legacy,"Can staff reliably find the current version of important documents and policies?"
23,productivity-collaboration,"Productivity and Collaboration",,prod-external-sharing,legacy,"Is external file sharing reviewed or restricted for sensitive information?"
24,cloud-infrastructure,"Cloud and Infrastructure",,cloud-critical-owner,legacy,"Is there a clearly identifiable owner for core domains, DNS, cloud accounts, and hosting?"
25,cloud-infrastructure,"Cloud and Infrastructure",,cloud-internet-exposure,legacy,"Are internet-facing servers and services reviewed for unsupported software or unnecessary exposure?"
26,governance-risk,"Governance and Risk Management",,gov-risk-register,legacy,"Do leaders maintain a simple list of known technology risks and planned actions?"
27,governance-risk,"Governance and Risk Management",,gov-policy-review,legacy,"Are key technology policies reviewed at least annually?"
28,ai-readiness,"AI Readiness",,ai-sensitive-data,legacy,"Has the business told employees what company or customer data may be used with AI tools?"
29,ai-readiness,"AI Readiness",,ai-approved-tools,legacy,"Are approved AI tools and use cases documented for employees?"
30,cost-optimization,"Cost Optimization",,cost-software-review,legacy,"How often does the business review software subscriptions for unused licenses or duplicate tools?"
31,cost-optimization,"Cost Optimization",,cost-cloud-budget,legacy,"Are cloud or hosting costs monitored against budgets or expected usage?"
32,vendor-strategy,"Vendor and Technology Strategy",,vendor-critical-review,legacy,"Are critical technology vendors reviewed for fit, risk, support quality, and renewal terms?"
33,vendor-strategy,"Vendor and Technology Strategy",,vendor-roadmap,legacy,"Is there a simple technology roadmap tied to business priorities?"
